*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=TacText
*Date=13:52:09
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
106;;diode-zener;58.7539;-36.259;-90;Bottom;U30
107;;[THT];84.5396;-37.5685;0;Bottom;U u
108;;[THT];23.5851;-17.2422;0;Bottom;< >
109;;;60.7213;-59.7908;-90;Bottom;TXT3
110;;diode-zener;134.998;-5.80532;-90;Bottom;U66
111;;diode-zener;48.5942;-36.259;-90;Bottom;U28
112;;[THT];150.562;-47.7478;0;Bottom;del
113;;diode-zener;119.752;-36.2843;-90;Bottom;U20
114;;diode-zener;53.6928;-26.117;-90;Bottom;U42
115;;diode-zener;84.1889;-26.1215;-90;Bottom;U34
116;;;29.771;-57.2022;0;Bottom;TXT1
117;;;56.0198;-22.2302;0;Bottom;Hole8
118;;[THT];120.087;-27.4215;0;Bottom;; :
119;;diode-zener;114.691;-5.82225;-90;Bottom;U71
120;;[THT];59.1221;-47.7478;0;Bottom;5 %
121;;[THT];140.407;-27.4215;0;Bottom;rtn
122;;;63.2318;-53.7331;-90;Bottom;TXT3
123;;diode-zener;160.398;-15.965;-90;Bottom;U56
124;;diode-zener;18.127;-36.2761;-90;Bottom;U24
125;;[THT];130.242;-47.7478;0;Bottom;= +
126;;diode-zener;140.078;-15.965;-90;Bottom;U49
127;;diode-zener;114.673;-46.4429;-90;Bottom;U11
128;;;60.7307;-53.7591;-90;Bottom;TXT3
129;;[THT];54.065;-17.2422;0;Bottom;C c
130;;[THT];69.2875;-27.4215;0;Bottom;G g
131;;[THT];109.927;-27.4215;0;Bottom;L l
132;;diode-zener;74.0439;-26.1215;-90;Bottom;U35
133;;diode-zener;43.5331;-26.117;-90;Bottom;U41
134;;diode-zener;155.318;-5.80532;-90;Bottom;U69
135;;5 mm [THT];8.35801;-26.8072;0;Bottom;LED1
136;;diode-zener;124.835;-46.4258;-90;Bottom;U15
137;;[THT];94.6996;-37.5685;0;Bottom;I i
138;;THT;82.0694;-57.6726;-90;Bottom;J1
139;;diode-zener;33.3728;-5.79713;-90;Bottom;U73
140;;diode-zener;13.0656;-5.81407;-90;Bottom;U63
141;;diode-zener;145.14;-46.4258;-90;Bottom;U12
142;;[THT];28.6475;-27.4215;0;Bottom;A a
143;;;65.8013;-59.7893;-90;Bottom;TXT3
144;;[THT];104.865;-17.2422;0;Bottom;, <
145;;diode-zener;160.379;-36.2672;-90;Bottom;U26
146;;diode-zener;99.4103;-36.2636;-90;Bottom;U29
147;;diode-zener;33.3788;-46.4393;-90;Bottom;U3
148;;[THT];48.9796;-7.08848;0;Bottom;spc
149;;[THT];135.345;-17.2422;0;Bottom;shift
150;;diode-zener;79.124;-15.9614;-90;Bottom;U47
151;;diode-zener;68.943;-36.2807;-90;Bottom;U17
152;;[THT];109.922;-47.7478;0;Bottom;0 )
153;;diode-zener;104.491;-46.4222;-90;Bottom;U9
154;;diode-zener;104.509;-26.1215;-90;Bottom;U31
155;;diode-zener;28.2891;-36.259;-90;Bottom;U25
